0.062,-0.14,0.963,0.669,16.901,62.501,13.594,56.469,22.375,72.275,0.081,245.7,8.308,1,4,0.527,1
0.062,-0.14,0.967,0.673,17.341,63.134,13.594,56.469,22.375,72.275,0.086,253.5,8.659,1,4,0.545,1
0.066,-0.136,0.963,0.673,17.253,63.371,13.594,56.469,22.375,72.275,0.084,244.4,8.352,1,4,0.563,1
0.062,-0.132,0.959,0.003,-49.736,-57.446,13.594,56.469,22.375,72.275,0.057,167.7,5.714,1,4,-0.404,1
0.07,-0.144,0.967,0.003,-49.736,-57.446,13.594,56.469,22.375,72.275,0.065,189.8,6.462,1,4,-0.492,1
0.07,-0.144,0.967,0.003,-49.736,-57.446,13.594,56.469,22.375,72.275,0.065,189.8,6.462,1,4,-0.492,1
0.066,-0.136,0.963,0.002,-49.78,-57.604,13.25,55.85,22.375,72.275,0.062,184.6,6.066,1,4,-0.475,1
0.066,-0.14,0.967,0.003,-49.692,-57.446,13.25,55.85,22.375,72.275,0.06,178.1,5.978,1,4,-0.422,1
0.062,-0.14,0.971,0.656,15.582,60.127,13.25,55.85,22.375,72.275,0.094,280.8,9.67,1,4,0.527,1
0.062,-0.132,0.963,0.003,-49.736,-57.525,13.25,55.85,22.375,72.275,0.068,195,6.725,1,4,-0.527,1
0.058,-0.136,0.963,0.66,15.758,60.444,13.25,55.85,22.375,72.275,0.083,241.8,8.264,1,4,0.422,1
0.062,-0.132,-0.031,0.673,17.253,63.134,13.25,55.85,22.375,72.275,0.081,244.4,8.264,1,4,0.563,1
0.066,-0.136,0.963,0.66,15.934,60.681,13.25,55.85,22.375,72.275,0.084,239.2,8.264,1,4,0.492,1
0.062,-0.136,0.963,0.669,16.989,62.343,13.25,55.85,22.375,72.275,0.085,248.3,8.44,1,4,0.58,1
0.062,-0.132,0.963,0.673,17.297,63.134,13.25,55.85,22.375,72.275,0.084,243.1,8.484,1,4,0.563,1
0.07,-0.136,0.963,0.002,-49.78,-57.525,13.25,55.85,22.375,72.275,0.06,182,6.242,1,4,-0.475,1
0.062,-0.136,0.963,0.003,-49.692,-57.525,13.25,55.85,22.375,72.275,0.061,179.4,6.11,1,4,-0.457,1
0.066,-0.132,0.963,0.003,-49.736,-57.525,13.25,55.85,22.375,72.275,0.065,191.1,6.593,1,4,-0.422,1
0.058,-0.136,0.967,0.002,-49.824,-57.604,13.25,55.85,22.375,72.275,0.08,235.3,8,1,4,-0.387,1
0.066,-0.132,0.963,0.004,-49.692,-57.525,13.25,55.85,22.375,72.275,0.085,250.9,8.703,1,4,-0.492,1
0.066,-0.132,0.971,0.676,17.56,63.53,13.25,55.85,22.375,72.275,0.103,302.9,10.286,1,4,0.563,1
0.066,-0.136,0.959,0.003,-49.736,-57.446,13.25,55.85,22.375,72.275,0.073,218.4,7.341,1,4,-0.369,1
0.062,-0.136,0.963,0.002,-49.736,-57.525,13.25,55.85,22.375,72.275,0.08,230.1,7.736,1,4,-0.387,1
0.062,-0.132,0.963,0.002,-49.824,-57.604,13.25,55.85,22.375,72.275,0.081,241.8,8.264,1,4,-0.369,1
0.062,-0.132,0.963,0.002,-49.824,-57.604,13.25,55.85,22.375,72.275,0.081,241.8,8.264,1,4,-0.369,1
