tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.81,-26.35,-1927033740
10.00,12.00,4.81,-26.12,-220331880
10.00,12.00,4.81,-26.95,2140106972
10.00,12.00,4.81,-26.39,2069261476
10.00,12.00,4.81,-25.16,-1535418632
10.00,12.00,4.81,-26.63,234548116
10.00,12.00,4.81,-26.77,-789479444
10.00,12.00,4.81,-26.60,490538896
10.00,12.00,4.81,-26.92,-1941518564
10.00,12.00,4.81,-26.56,746561896
10.00,12.00,4.81,-26.36,-1991039520
10.00,12.00,4.81,-27.24,-121257688
10.00,12.00,4.81,-26.20,-817675920
10.00,12.00,4.81,-26.17,-583009680
10.00,12.00,4.81,-26.59,511895596
10.00,12.00,4.81,-26.75,-704149184
10.00,12.00,4.81,-27.11,902769872
10.00,12.00,4.81,-27.18,390756092
10.00,12.00,4.81,-26.93,-2069497844
10.00,12.00,4.81,-26.67,-64123904
10.00,12.00,4.81,-26.00,697008720
10.00,12.00,4.81,-26.91,-1898837324
10.00,12.00,4.81,-26.56,767886436
10.00,12.00,4.81,-26.46,1535923216
10.00,12.00,4.81,-26.75,-704149184
10.00,12.00,4.81,-26.53,981228196
10.00,12.00,4.81,-26.55,874573396
10.00,12.00,4.81,-26.74,-576137684
10.00,12.00,4.80,-26.60,426533176
10.00,12.00,4.81,-28.83,774017480
10.00,12.00,4.81,-26.79,-938815484
10.00,12.00,4.81,-26.85,-1429504784
10.00,12.00,4.81,-26.70,-320146904
10.00,12.00,4.81,-26.79,-981496724
10.00,12.00,4.81,-27.00,1756104692
10.00,12.00,4.81,-26.62,277197136
10.00,12.00,4.80,-26.10,-28314600
10.00,12.00,4.81,-26.97,1948121972
10.00,12.00,4.81,-27.35,-910619008
10.00,12.00,4.81,-27.12,838764092
10.00,12.00,4.81,-26.96,2054776712
10.00,12.00,4.81,-27.01,1649449892
10.00,12.00,4.81,-26.98,1905440732
10.00,12.00,4.81,-27.08,1137436112
10.00,12.00,4.81,-26.27,-1308365220
10.00,12.00,4.81,-26.12,-220331880
10.00,12.00,4.81,-26.53,959903656
10.00,12.00,4.80,-26.72,-426801704
10.00,12.00,4.81,-26.81,-1130832704
10.00,12.00,4.81,-26.75,-704149184
10.00,12.00,4.81,-26.45,1621253476
10.00,12.00,4.81,-26.72,-469482944
10.00,12.00,4.81,-27.15,625422332
10.00,12.00,4.81,-27.28,-377280748
10.00,12.00,4.81,-27.07,1180085132
10.00,12.00,4.81,-26.58,639874936
10.00,12.00,4.81,-27.19,305425832
10.00,12.00,4.81,-26.99,1820110472
10.00,12.00,4.81,-26.93,-2005524284
10.00,12.00,4.81,-27.05,1350777872
10.00,12.00,4.81,-26.49,1279900216
10.00,12.00,4.81,-26.66,-21474884
10.00,12.00,4.81,-26.75,-704149184
10.00,12.00,4.81,-26.51,1109239696
10.00,12.00,4.81,-26.39,2047936996
10.00,12.00,4.81,-26.62,341202856
10.00,12.00,4.80,-26.60,490538896
10.00,12.00,4.81,-26.44,1685259196
10.00,12.00,4.81,-27.22,70727312
10.00,12.00,4.81,-27.18,390756092
10.00,12.00,4.81,-26.50,1215894436
10.00,12.00,4.81,-27.01,1692098972
10.00,12.00,4.81,-27.10,988100132
10.00,12.00,4.81,-26.45,1578572236
10.00,12.00,4.81,-27.23,-35927488
10.00,12.00,4.81,-26.40,1983931216
10.00,12.00,4.81,-25.94,1145048940
10.00,12.00,4.80,-26.58,597225856
10.00,12.00,4.81,-26.51,1109239696
10.00,12.00,4.81,-26.08,121021380
10.00,12.00,4.81,-26.98,1884116192
10.00,12.00,4.81,-26.68,-149454164
10.00,12.00,4.81,-26.63,234548116
10.00,12.00,4.81,-27.41,-1337302528
10.00,12.00,4.81,-27.14,668071352
10.00,12.00,4.81,-27.08,1116111632
10.00,12.00,4.81,-27.10,966775592
10.00,12.00,4.81,-27.04,1393426892
10.00,12.00,4.81,-26.43,1727908216
10.00,12.00,4.81,-26.73,-512131964
10.00,12.00,4.81,-26.73,-554813204
10.00,12.00,4.81,-26.29,-1457701200
10.00,12.00,4.81,-26.69,-192135404
10.00,12.00,4.81,-26.50,1215894436
10.00,12.00,4.81,-26.58,618550396
10.00,12.00,4.81,-26.74,-597462224
10.00,12.00,4.81,-26.40,1962574516
10.00,12.00,4.81,-26.65,85212076
10.00,12.00,4.82,-27.02,1564119632
10.00,12.00,4.81,-27.06,1265447612
10.00,12.00,4.82,-27.21,134733032
10.00,12.00,4.82,-26.91,-1898837324
10.00,12.00,4.81,-26.17,-540328440
10.00,12.00,4.81,-26.90,-1834831544
10.00,12.00,4.82,-28.76,1328712500
10.00,12.00,4.81,-27.27,-313274968
10.00,12.00,4.81,-26.40,1983931216
10.00,12.00,4.81,-26.32,-1713692040
10.00,12.00,4.80,-26.86,-1536159524
10.00,12.00,4.81,-26.44,1685259196
10.00,12.00,4.81,-26.58,597225856
10.00,12.00,4.81,-26.64,127861096
10.00,12.00,4.81,-26.45,1599896716
10.00,12.00,4.81,-26.75,-661468004
10.00,12.00,4.81,-27.15,625422332
10.00,12.00,4.81,-27.18,390756032
10.00,12.00,4.82,-27.19,305425772
10.00,12.00,4.81,-26.84,-1322817764
10.00,12.00,4.82,-27.05,1372102412
10.00,12.00,4.81,-26.68,-106805144
10.00,12.00,4.81,-26.93,-2069497844
10.00,12.00,4.82,-27.02,1564119632
10.00,12.00,4.80,-26.37,-2055045300
10.00,12.00,4.81,-26.58,639874876
10.00,12.00,4.81,-26.51,1109239636
10.00,12.00,4.81,-26.42,1813238476
10.00,12.00,4.81,-26.67,-42799424
10.00,12.00,4.81,-26.54,938546896
10.00,12.00,4.81,-26.68,-170810924
10.00,12.00,4.81,-27.27,-291950488
