2.262,0.566,0.979,0.589,8.154,47.785,5.562,42.013,12.312,54.162,0.815,1871,81.89,356,1525,-2.901
-1.252,2.106,1.891,0.561,5.341,41.059,5.562,42.013,12.312,54.162,0.719,1643,70.549,356,1525,-0.035
1.158,-1.938,0.277,0.557,4.989,41.851,5.562,42.013,12.312,54.162,0.815,1833,79.868,356,1525,-0.193
0.117,7.668,1.786,0.582,7.67,48.655,5.562,42.013,12.312,54.162,0.723,1633,71.56,356,1525,0.281
1.209,-1.423,3.019,0.589,8.242,45.648,5.562,42.013,12.312,54.162,0.821,1856,81.978,369,1581,0.229
1.182,-4.434,1.86,0.564,6.923,40.268,5.562,42.013,12.312,54.162,0.788,1802,78.593,369,1581,1.108
0.515,-4.867,1.174,0.132,-35.934,-33.077,5.562,42.013,12.312,54.162,0.735,1675,73.802,369,1581,-0.967
0.507,-4.356,1.295,0.203,-33.604,-28.33,5.562,42.013,12.312,54.162,0.755,1719,75.604,369,1581,-1.266
2.258,-0.819,3.393,0.594,8.374,47.547,5.562,42.013,12.312,54.162,0.78,1767,78.022,369,1581,1.319
0.523,-0.713,1.451,0.593,8.637,46.993,5.562,42.013,12.312,54.162,0.815,1866,81.187,369,1581,0.51
